WH Name,Variacion absoluta,inventario
"NTW - Tampa, FL",4948.54,6705185.80
NTW - Birmingham AL,8998.84,6535934.20
NTW - Greensboro NC,1180.79,5210958.21
"NTW - Norfolk, VA",-19547.08,5225743.30
"NTW - FT MYERS, FL",-22454.26,5530860.58
NTW - San Antonio TX,-61717.80,4002740.67
"NTW - Longview, TX",10693.96,1801714.67
"NTW - Auburn, ME",-48799.70,6709355.38
"NTW - Marietta, GA",-31454.20,3698343.31
"NTW - Charleston, SC",2527.31,4463363.59
"NTW - Manassas, VA",-4881.23,5515076.01
NTW - Ocoee TN,-4864.34,2906272.75
"NTW - Rochester, NY",13677.06,5907150.61
"NTW - Colonie, NY",-10709.47,6843715.73
"NTW - Nashville, TN",1549.40,6219586.43
"NTW - Montgomery, AL",1485.28,6107238.29
"NTW - Wichita, KS",-418.85,6514703.56
NTW - Santa Fe Springs CA,-10435.71,6329606.23
NTW - Glendale IL,5053.03,6554493.06
"NTW - Lansdale, PA",16361.34,6929139.08
"NTW - Houston,TX",-9398.83,5006674.58
NTW - Dallas TX,4069.21,11824746.44
"NTW - Lockbourne, OH",-9531.65,6890888.50
NTW - Benicia CA,66273.16,14558049.61
NTW - Columbia MO,-6428.79,2548067.89
"NTW - Redlands, CA",-85028.71,19342563.93
"NTW - Fresno, CA",-3402.75,6983922.91
"NTW - Tolleson, AZ",-61925.93,15000347.72
NTW - Sacramento CA,-50565.03,8110860.75
"NTW - York, PA",-10464.30,2801515.53
NTW - Stow OH,17627.46,8562701.68
NTW - Bedford Park IL,1511.20,4378653.70
NTW - Dunmore PA,404.13,4109818.89
"NTW - New Albany, IN",-5651.54,9494414.29
"NTW - Kansas City, MO",-526.69,2914531.71
NTW - DENVER CO,-5774.69,15241102.62
NTW - ANCHORAGE,-948.69,2340350.08
NTW - COLORADO SPRINGS CO,-335.53,4225114.90
NTW - MESQUITE TX,-70961.65,5887449.85
NTW - PROVIDENCE NEW BEDF,-3069.71,4730074.35
NTW - DENVER CO,-16862.20,7105164.23
NTW - JACKSON MS,-4274.13,5612992.63
NTW - PITTSBURGH,-7693.02,5010833.15
NTW - SALT LAKE CITY UT,79574.88,14471393.94
NTW - TUCSON AZ,-800.30,4751386.75
NTW - DES MOINES AMES,-137.28,3190183.68
NTW - LEXINGTON,376.25,3134945.45
NTW - DETROIT,-4759.10,5685072.41
NTW - LOUISVILLE KY,-42129.16,6048273.42
NTW - ATLANTA,28008.60,5684471.20
NTW - ATLANTA,5560.61,7505280.48
NTW - HOUSTON TX,-776.88,9346143.89
NTW - HARTFORD & NEW HAVE,-970.65,2701495.06
NTW - MIAMI-FT. LAUDERDAL,-597.27,6520349.91
NTW - KAPOLEI HI,-31578.76,3171533.64
NTW - OKLAHOMA CITY OK,11039.59,8032224.91
NTW - PORTLAND OR,4241.05,4353328.51
NTW - SPOKANE WA,-5171.22,3095049.11
NTW - MEMPHIS TN,1369.15,3757171.07
NTW - CHARLOTTE,-10769.47,5797908.99
NTW - LITTLE ROCK PINE BL,843.69,2814858.80
NTW - CINCINNATI OH,-2706.89,3445505.18
NTW - HOUSTON TX,3712.01,4196891.89
NTW - BOSTON (MANCHESTER),-1250.39,2896012.55
NTW - SAN ANTONIO TX,-6725.80,4203191.14
NTW - OMAHA NE,-36024.14,3574425.54
NTW - AUSTIN TX,-1427.87,3679957.55
NTW - SEATTLE-TACOMA WA,-5770.30,3052331.75
NTW - GRAND RAPIDS KALMZO,-375.69,3208713.59
NTW - KNOXVILLE TN,-5633.31,3882792.31
NTW - TOLEDO OH,-2133.68,3267599.95
NTW - DALLAS FT WORTH TX,2933.38,6543249.54
NTW - CHARLESTON-HUNTINGT,1457.29,2810791.43
NTW - INDIANAPOLIS IN,159.10,3041605.25
NTW - BURLINGTON PLATTSBU,-2011.16,6752321.81
NTW - TULSA OK,2585.74,3339906.78
NTW - CHICAGO IL,706.82,2936965.02
NTW - CHICAGO IL,-234.64,4310622.31
NTW - ALBUQUERQUE SANTA F,1412.66,1794038.95
NTW - TALLAHASSEE THOMASV,7867.28,2397902.78
NTW - CHAMPAIGN&SPRNGFLD-,-74.69,3003721.71
NTW - ST. LOUIS MO,3425.40,5097888.14
NTW - NEW YORK NJ,-1731.94,3696302.78
NTW - NEW YORK NY,489.05,2768674.75
NTW - BATON ROUGE LA,3154.24,3435217.69
NTW - SPRINGFIELD MO,7168.20,8587366.75
NTW - SHREVEPORT LA,3224.31,2213514.11
NTW - LOS ANGELES CA,-502.59,4936472.63
NTW - MILWAUKEE WI,-521.94,3829006.10
NTW - HARRISBURG-LNCSTR-L,-4671.15,2750209.43
NTW - MOBILE-PENSACOLA (F,191.98,3208869.39
NTW - SAN DIEGO CA,-18.19,3118913.13
NTW - LAS VEGAS NV,1169.66,2721061.01
NTW - KANSAS CITY MO,-4034.02,8710191.59
NTW - MINNEAPOLIS-ST. PAU,5927.81,6478696.86
NTW - RALEIGH-DURHAM (FAY,831.26,3007437.02
NTW - MYRTLE BEACH-FLOREN,-4249.54,2781287.56
NTW - COLUMBIA SC,-2790.71,2351772.67
NTW - EL PASO (LAS CRUCES,432.74,2063507.34
NTW - SAN FRANCISCO-OAK-S,0.00,3368361.90
NTW - LUBBOCK TX,-22562.76,6938627.05
NTW - SAN FRANCISCO-OAK-S,1159.79,3911028.16
"NTW - Albany, GA",-2921.10,3288507.84
NTW - WORCESTER MA,8172.54,5759562.10
"NTW - Halethorpe, MD",-134963.54,7634605.37
NTW - Raleigh NC,-6922.45,4501762.44
"NTW - Dothan, AL",-412.35,4375931.20
NTW - Florence SC,-3573.81,4229765.01
"NTW - Gainesville, GA",-2418.82,3274064.34
"NTW - Greer, SC",3197.89,6038737.81
"NTW - Grovetown, GA",-5015.38,3894416.41
"NTW - Jacksonville, FL",-37302.15,6201391.90
"NTW - Macon, GA",741.52,3010338.63
"NTW - Orlando, FL",-6107.10,4891575.17
"NTW - Savannah, GA",10667.82,3425851.19
"NTW - Richmond, VA",3847.70,5816810.36
"NTW - WPB, FL",46980.29,6386031.83
NTW - Roanoke VA,-24027.94,5231265.03
"NTW - Tampa, FL",5081.31,6315155.53
NTW - Birmingham AL,12226.92,6492665.84
NTW - Greensboro NC,-192.65,5163731.86
"NTW - Norfolk, VA",-21697.52,5129007.62
"NTW - FT MYERS, FL",-22365.22,5617964.34
NTW - San Antonio TX,-67870.46,3909751.60
"NTW - Longview, TX",10802.19,1682002.27
"NTW - Auburn, ME",-40066.22,6710225.51
"NTW - Marietta, GA",-34762.83,3736202.09
"NTW - Charleston, SC",5328.70,4455038.27
"NTW - Manassas, VA",-6606.53,5093846.47
NTW - Ocoee TN,-5338.45,2946181.18
"NTW - Rochester, NY",53655.30,6048204.92
"NTW - Colonie, NY",-9894.57,6815810.78
"NTW - Nashville, TN",1111.39,6296912.87
"NTW - Montgomery, AL",-8200.66,6206459.69
"NTW - Wichita, KS",-382.99,6457304.31
NTW - Santa Fe Springs CA,-14592.15,6291987.68
NTW - Glendale IL,6022.90,6493164.21
"NTW - Lansdale, PA",21568.55,6666094.03
"NTW - Houston,TX",-16640.02,4863328.11
NTW - Dallas TX,1587.74,11573529.39
"NTW - Lockbourne, OH",-11941.31,6713142.57
NTW - Benicia CA,66273.16,14165199.87
NTW - Columbia MO,-7679.58,2470466.47
"NTW - Redlands, CA",-80076.83,19417201.33
"NTW - Fresno, CA",-2588.94,6650081.03
"NTW - Tolleson, AZ",-71535.59,14732689.22
NTW - Sacramento CA,-57687.79,8166057.38
"NTW - York, PA",-10380.48,2769610.11
NTW - Stow OH,16687.87,8525389.36
NTW - Bedford Park IL,1465.14,4283357.78
NTW - Dunmore PA,404.13,4079637.64
"NTW - New Albany, IN",-6031.48,9283503.54
"NTW - Kansas City, MO",-526.99,2848743.84
NTW - DENVER CO,-2913.18,15105818.86
NTW - ANCHORAGE,4384.59,2441304.81
NTW - COLORADO SPRINGS CO,23.93,4122154.47
NTW - MESQUITE TX,-73255.75,5561644.82
NTW - PROVIDENCE NEW BEDF,-6602.99,4606937.08
NTW - DENVER CO,-8936.87,6857027.47
NTW - JACKSON MS,-4274.13,5552559.81
NTW - PITTSBURGH,-8018.30,4881082.75
NTW - SALT LAKE CITY UT,70877.34,14155423.19
NTW - TUCSON AZ,-800.30,4708443.88
NTW - DES MOINES AMES,99.24,3214660.13
NTW - LEXINGTON,376.25,3118422.94
NTW - DETROIT,-4585.00,5903874.79
NTW - LOUISVILLE KY,-47101.17,5894272.87
NTW - ATLANTA,22654.22,5601928.37
NTW - ATLANTA,4624.34,7441655.25
NTW - HOUSTON TX,5398.77,9085942.25
NTW - HARTFORD & NEW HAVE,-1036.70,2691381.06
NTW - MIAMI-FT. LAUDERDAL,2592.52,6218572.75
NTW - KAPOLEI HI,-31314.05,3017777.77
NTW - OKLAHOMA CITY OK,10508.15,7834090.40
NTW - PORTLAND OR,3921.05,4296314.53
NTW - SPOKANE WA,-6964.20,2967371.81
NTW - MEMPHIS TN,1351.21,3653453.80
NTW - CHARLOTTE,-14121.62,5639965.16
NTW - LITTLE ROCK PINE BL,-62664.22,2764360.98
NTW - CINCINNATI OH,-2869.12,3352488.87
NTW - HOUSTON TX,385.15,4236529.87
NTW - BOSTON (MANCHESTER),-1250.39,2828839.49
NTW - SAN ANTONIO TX,-8038.87,3852215.65
NTW - OMAHA NE,-39146.57,3386546.82
NTW - AUSTIN TX,-2818.60,3356203.47
NTW - SEATTLE-TACOMA WA,-492.15,2753248.88
NTW - GRAND RAPIDS KALMZO,-6600.92,3308175.56
NTW - KNOXVILLE TN,-40043.30,3765925.89
NTW - TOLEDO OH,-1962.98,3254077.13
